,District,Region,District Total
0,Chitipa,Northern,234927.0
1,Karonga,Northern,365028.0
2,Nkhata Bay,Northern,285795.0
3,Rumphi,Northern,229161.0
4,Mzimba,Northern,936250.0
5,Likoma,Northern,14527.0
6,Mzuzu City,Northern,221272.0
7,Kasungu,Central,842953.0
8,Nkhotakota,Central,395897.0
9,Ntchisi,Central,317069.0
10,Dowa,Central,772569.0
11,Salima,Central,478346.0
12,Lilongwe,Central,1637583.0
13,Mchinji,Central,602305.0
14,Dedza,Central,830512.0
15,Ntcheu,Central,659608.0
16,Lilongwe City,Central,989318.0
17,Mangochi,Southern,1148611.0
18,Machinga,Southern,735438.0
19,Zomba,Southern,746724.0
20,Chiradzulu,Southern,356875.0
21,Blantyre,Southern,451220.0
22,Mwanza,Southern,130949.0
23,Thyolo,Southern,721456.0
24,Mulanje,Southern,684107.0
25,Phalombe,Southern,429450.0
26,Chikwawa,Southern,564684.0
27,Nsanje,Southern,299168.0
28,Balaka,Southern,438379.0
29,Neno,Southern,138291.0
30,Zomba City,Southern,105013.0
31,Blantyre City,Southern,800264.0
