Variant,Year,Period,Region,Count
Census_2018,2018,2015-2019,Northern,12734
Census_2018,2018,2015-2019,Northern,22531
Census_2018,2018,2015-2019,Northern,14769
Census_2018,2018,2015-2019,Northern,11210
Census_2018,2018,2015-2019,Northern,6273
Census_2018,2018,2015-2019,Northern,2032
Census_2018,2018,2015-2019,Northern,307
Census_2018,2018,2015-2019,Central,40022
Census_2018,2018,2015-2019,Central,77979
Census_2018,2018,2015-2019,Central,52546
Census_2018,2018,2015-2019,Central,40817
Census_2018,2018,2015-2019,Central,23636
Census_2018,2018,2015-2019,Central,7827
Census_2018,2018,2015-2019,Central,1773
Census_2018,2018,2015-2019,Southern,51331
Census_2018,2018,2015-2019,Southern,77034
Census_2018,2018,2015-2019,Southern,53420
Census_2018,2018,2015-2019,Southern,41064
Census_2018,2018,2015-2019,Southern,27306
Census_2018,2018,2015-2019,Southern,9393
Census_2018,2018,2015-2019,Southern,2521
